postalCode,lat,lon,locality,label,poi_id,types
35800,48.6339398,-2.0526922,Dinard,Galerie Vue Sur Mer - Exposition Mariano Otero,FMABRE035V52C3XE,["EntertainmentAndEvent"]
35800,48.6299618,-2.0634621,Dinard,Exposition : La Belle Epoque des Rochaïd (1873 - 1914),FMABRE035V5290PW,["EntertainmentAndEvent"]
22100,48.46537,-2.08794,Quévert,Animations à la Bergerie du Manoir,FMABRE022V543X4C,["EntertainmentAndEvent"]
35800,48.633024,-2.055125,Dinard,Championnat Emeraude Fun Cup,FMABRE035V524ZAM,["EntertainmentAndEvent"]
35730,48.5775,-2.06249,Pleurtuit,Concert – Loïc Lantoine & Marc Nammour,FMABRE035V52CIKE,["EntertainmentAndEvent"]
22100,48.44269,-2.03879,Dinan,Exposition autour des Arts textiles : Cassandre Boucher,FMABRE022V540USH,["EntertainmentAndEvent"]
35800,48.6352,-2.05208,Dinard,23e Salon des artistes professionnels et amateurs de Dinard,FMABRE035V521ST9,["CulturalSite" "EntertainmentAndEvent"]
35430,48.5709329,-1.9181092,Saint-Père-Marc-en-Poulet,Rondinox,FMABRE035V5233U3,["EntertainmentAndEvent"]
35800,48.6367462,-2.1074259,Saint-Lunaire,Marché gourmand,FMABRE035V52B66H,["EntertainmentAndEvent"]
22100,48.457322,-2.0378079,Lanvallay,Sortie nature - Observation des oiseaux,FMABRE022V54161I,["EntertainmentAndEvent"]
35800,48.6357488,-2.1221406,Saint-Lunaire,Forum des associations,FMABRE035V526VTN,["EntertainmentAndEvent"]
22100,48.4434653,-2.0703024,Dinan,Championnat du Monde Militaire de Rugby à XV,FMABRE022V5452AP,["EntertainmentAndEvent"]
35780,48.60864,-2.03529,La Richardais,Atelier créatif au musée Manoli – Nuage Nuage,FMABRE035V52CUBA,["EntertainmentAndEvent"]
22100,48.45262,-2.04307,Dinan,Les Jacobambins - Cirque : "Aux Etoiles !",FMABRE022V543T4R,["EntertainmentAndEvent"]
35800,48.6242874,-2.1369587,Saint-Briac-sur-Mer,Visite guidée - Visite Vélo,FMABRE035V529BWB,["EntertainmentAndEvent" "SportsAndLeisurePlace" "Visit"]
22100,48.4753616,-2.0173454,Taden,Exposition - L'Art au Manoir,FMABRE022V53OZNM,["EntertainmentAndEvent"]
22490,48.5280081,-2.083769,Pleslin-Trigavou,Vide-greniers,FMABRE022V540PTS,["EntertainmentAndEvent"]
22490,48.527538,-2.00327,Plouër-sur-Rance,Descente de la Rance en canoë-kayak de Dinan à Plouër-sur-Rance,FMABRE022V544T1S,["EntertainmentAndEvent"]
35780,48.60864,-2.03529,La Richardais,Exposition Les Nuées de Pauline Hegaret - Musée Manoli,FMABRE035V52CHOL,["EntertainmentAndEvent"]
35780,48.6170895,-2.028094,La Richardais,Visite guidée - Espace découverte EDF,FMABRE035V528WLH,["EntertainmentAndEvent" "Visit"]
35730,48.61194,-2.06081,Pleurtuit,Cirque Achille Zavatta,FMABRE035V52C6CP,["EntertainmentAndEvent"]
22100,48.454027,-2.040557,Lanvallay,Concert : Rock,FMABRE022V54523W,["EntertainmentAndEvent"]
22100,48.45666,-2.05324,Dinan,Jeudi Locos : Concert de la Trio Cholo (musique mauricienne),FMABRE022V5458K0,["EntertainmentAndEvent"]
35780,48.60864,-2.03529,La Richardais,Atelier créatif au musée Manoli – Pas banal l’animal,FMABRE035V52CU3Y,["EntertainmentAndEvent"]
35730,48.60773,-2.07096,Pleurtuit,Atelier enfant -  Je fabrique une horloge,FMABRE035V52C593,["EntertainmentAndEvent"]
35780,48.6170895,-2.028094,La Richardais,Visite guidée - Espace découverte EDF,FMABRE035V528WLP,["EntertainmentAndEvent" "Visit"]
22490,48.527538,-2.00327,Plouër-sur-Rance,Descente de la Rance en canoë-kayak de Dinan à Plouër-sur-Rance,FMABRE022V543FPP,["EntertainmentAndEvent"]
22100,48.4576424,-2.0367353,Lanvallay,Sortie nature - Les arbres ça me branche,FMABRE022V53YZOX,["EntertainmentAndEvent"]
35800,48.6255628,-2.0526855,Dinard,Éveil Corporel,FMABRE035V52C173,["EntertainmentAndEvent"]
35780,48.6170895,-2.028094,La Richardais,Visite guidée - Espace découverte EDF,FMABRE035V528WLQ,["EntertainmentAndEvent" "Visit"]
22100,48.4576424,-2.0367353,Lanvallay,Sortie nature - Pêche à pied le temps d'une marée,FMABRE022V54152F,["EntertainmentAndEvent"]
