Code_commune_INSEE,Nom_commune,Code_postal,Ligne_5,Libellé_d_acheminement,coordonnees_geographiques_x,coordonnees_geographiques_y
27427,NEAUFLES AUVERGNY,27250,NEAUFLES SUR RISLE,NEAUFLES AUVERGNY,48.874702476,0.744632052
27430,LA NEUVE GRANGE,27150,,LA NEUVE GRANGE,49.360228929,1.557904416
27432,LA NEUVILLE DU BOSC,27890,,LA NEUVILLE DU BOSC,49.194245843,0.815102406
27435,LA NOE POULAIN,27560,,LA NOE POULAIN,49.270671481,0.519392173
27437,NOJEON EN VEXIN,27150,,NOJEON EN VEXIN,49.329206223,1.556627153
27447,LE VAL DORE,27190,ORVAUX,LE VAL DORE,48.946632777,0.99214952
27451,PARVILLE,27180,,PARVILLE,49.031916036,1.092381046
27460,PLAINVILLE,27300,,PLAINVILLE,49.079093144,0.49990476
27467,PONT AUDEMER,27500,,PONT AUDEMER,49.345765639,0.521086602
27467,PONT AUDEMER,27500,ST GERMAIN VILLAGE,PONT AUDEMER,49.345765639,0.521086602
27469,PONT DE L ARCHE,27340,,PONT DE L ARCHE,49.291189548,1.143921981
27471,PORTE DE SEINE,27100,TOURNEDOS SUR SEINE,PORTE DE SEINE,49.26369909,1.260889187
27474,POSES,27740,,POSES,49.299762821,1.240762804
27475,LA POTERIE MATHIEU,27560,,LA POTERIE MATHIEU,49.252579444,0.521728839
27478,PREY,27220,,PREY,48.957980233,1.219531268
27480,PUCHAY,27150,,PUCHAY,49.354242314,1.52594943
27481,PULLAY,27130,,PULLAY,48.727919325,0.864197008
27482,LA PYLE,27370,,LA PYLE,49.199891122,0.89723084
27483,QUATREMARE,27400,,QUATREMARE,49.184045862,1.080759138
27485,QUILLEBEUF SUR SEINE,27680,,QUILLEBEUF SUR SEINE,49.470284163,0.5019033
27497,ROUGEMONTIERS,27350,,ROUGEMONTIERS,49.358195774,0.723949231
27501,ROUVRAY,27120,,ROUVRAY,49.066112927,1.339836512
27511,ST AUBIN D ECROSVILLE,27110,,ST AUBIN D ECROSVILLE,49.142770028,0.986693096
27516,TREIS SANTS EN OUCHE,27270,ST QUENTIN DES ISLES,TREIS SANTS EN OUCHE,49.059907621,0.62630643
27524,STE COLOMBE LA COMMANDERIE,27110,,STE COLOMBE LA COMMANDERIE,49.107530676,0.935501622
27533,ST DENIS LE FERMENT,27140,,ST DENIS LE FERMENT,49.322389877,1.718071161
27536,ST ELOI DE FOURQUES,27800,,ST ELOI DE FOURQUES,49.235709142,0.803426269
27547,ST GERMAIN LA CAMPAGNE,27230,,ST GERMAIN LA CAMPAGNE,49.052315374,0.412213942
27548,ST GERMAIN SUR AVRE,27320,,ST GERMAIN SUR AVRE,48.773092321,1.262333311
27552,ST JEAN DU THENNEY,27270,,ST JEAN DU THENNEY,49.014752215,0.458349036
27554,LA CHAPELLE LONGUEVILLE,27950,LA CHAPELLE REANVILLE,LA CHAPELLE LONGUEVILLE,49.111491791,1.436306231
27554,LA CHAPELLE LONGUEVILLE,27950,ST JUST,LA CHAPELLE LONGUEVILLE,49.111491791,1.436306231
27557,ST LEGER DE ROTES,27300,,ST LEGER DE ROTES,49.11234885,0.661706919
27558,ST LEGER DU GENNETEY,27520,,ST LEGER DU GENNETEY,49.282525822,0.75163284
27561,ST MACLOU,27210,,ST MACLOU,49.362111455,0.413513408
